triple,common material,question,choices,answerKey
"('smartphone', 'bus stop shelter', 'joggers')","glass, metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a bus stop shelter?
 a) smartphone b) joggers
","{'label': ['a)', 'b)'], 'text': ['smartphone', 'joggers']}",b)
"('messenger bag', 'shoelaces', 'grinding stone')","nylon, plastic, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a shoelaces?
 a) messenger bag b) grinding stone
","{'label': ['a)', 'b)'], 'text': ['messenger bag', 'grinding stone']}",b)
"('portable charger', 'chunky heels', 'coconut snowball')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a chunky heels?
 a) portable charger b) coconut snowball
","{'label': ['a)', 'b)'], 'text': ['portable charger', 'coconut snowball']}",b)
"('castle', 'sarcophagus-style headstone', 'swimsuit')",stone,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a sarcophagus-style headstone?
 a) castle b) swimsuit
","{'label': ['a)', 'b)'], 'text': ['castle', 'swimsuit']}",b)
"('bean bag lounger', 'unitards', 'garden hose')",polyester,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a unitards?
 a) bean bag lounger b) garden hose
","{'label': ['a)', 'b)'], 'text': ['bean bag lounger', 'garden hose']}",b)
"('windbreaker jacket', 'theatrical leggings', 'freestanding bell tower')",polyester,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a theatrical leggings?
 a) windbreaker jacket b) freestanding bell tower
","{'label': ['a)', 'b)'], 'text': ['windbreaker jacket', 'freestanding bell tower']}",b)
"('apron-style adult dining bib', 'water-resistant mousepad', 'skylight window')","polyester, vinyl","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a water-resistant mousepad?
 a) apron-style adult dining bib b) skylight window
","{'label': ['a)', 'b)'], 'text': ['apron-style adult dining bib', 'skylight window']}",b)
"('bike rack', 'bas-relief', 'votive candle')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a bas-relief?
 a) votive candle b) bike rack
","{'label': ['a)', 'b)'], 'text': ['votive candle', 'bike rack']}",a)
"('full-body inflatable costume', 'tie-back halter blouse', 'puzzle pieces')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a tie-back halter blouse?
 a) puzzle pieces b) full-body inflatable costume
","{'label': ['a)', 'b)'], 'text': ['puzzle pieces', 'full-body inflatable costume']}",a)
"('platform thigh-high boots', 'shower curtain', 'classical sculpture')","nylon, polyester, PVC","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a shower curtain?
 a) classical sculpture b) platform thigh-high boots
","{'label': ['a)', 'b)'], 'text': ['classical sculpture', 'platform thigh-high boots']}",a)
"('hovercraft', 'baseball bats', 'halter tank top')","aluminum, carbon fiber","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a baseball bats?
 a) halter tank top b) hovercraft
","{'label': ['a)', 'b)'], 'text': ['halter tank top', 'hovercraft']}",a)
"('pre-tied bow tie', 'closed-back slippers', 'caliper')",polyester,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a closed-back slippers?
 a) caliper b) pre-tied bow tie
","{'label': ['a)', 'b)'], 'text': ['caliper', 'pre-tied bow tie']}",a)
"('bento box', 'lap desk', 'cornerstone')","plastic, wood","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a lap desk?
 a) cornerstone b) bento box
","{'label': ['a)', 'b)'], 'text': ['cornerstone', 'bento box']}",a)
"('glove-style finger puppet', 'dumbbell', 'spa towel')",rubber,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a dumbbell?
 a) spa towel b) glove-style finger puppet
","{'label': ['a)', 'b)'], 'text': ['spa towel', 'glove-style finger puppet']}",a)
"('toothbrush', 'traditional woven basket', 'reflective traffic sign')",bamboo,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a traditional woven basket?
 a) reflective traffic sign b) toothbrush
","{'label': ['a)', 'b)'], 'text': ['reflective traffic sign', 'toothbrush']}",a)
"('ball-point pen', 'hex bolt', 'handheld paddle fan')",metal,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a hex bolt?
 a) handheld paddle fan b) ball-point pen
","{'label': ['a)', 'b)'], 'text': ['handheld paddle fan', 'ball-point pen']}",a)
"('clip-on tie', 'skirted leotard', 'traditional corn broom')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a skirted leotard?
 a) traditional corn broom b) clip-on tie
","{'label': ['a)', 'b)'], 'text': ['traditional corn broom', 'clip-on tie']}",a)
"('satchel backpack', 'pullover hoodie', 'vacuum flask')",polyester,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pullover hoodie?
 a) vacuum flask b) satchel backpack
","{'label': ['a)', 'b)'], 'text': ['vacuum flask', 'satchel backpack']}",a)
"('showcase stage pavilion', 'countertop', 'compression shirt')","metal, wood","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a countertop?
 a) compression shirt b) showcase stage pavilion
","{'label': ['a)', 'b)'], 'text': ['compression shirt', 'showcase stage pavilion']}",a)
"('Polaroid camera', 'electronic scoreboard', 'eco-friendly coffin')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a electronic scoreboard?
 a) eco-friendly coffin b) Polaroid camera
","{'label': ['a)', 'b)'], 'text': ['eco-friendly coffin', 'Polaroid camera']}",a)
"('drawer finger pull', 'shoehorn', 'jeggings')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a shoehorn?
 a) jeggings b) drawer finger pull
","{'label': ['a)', 'b)'], 'text': ['jeggings', 'drawer finger pull']}",a)
"('fitted sheet', 'beanie hat', 'air-raid shelter')","cotton, polyester, spandex","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a beanie hat?
 a) air-raid shelter b) fitted sheet
","{'label': ['a)', 'b)'], 'text': ['air-raid shelter', 'fitted sheet']}",a)
"('ball gown', 'hair scrunchies', 'restroom stall')","satin, silk, velvet","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a hair scrunchies?
 a) restroom stall b) ball gown
","{'label': ['a)', 'b)'], 'text': ['restroom stall', 'ball gown']}",a)
"('raised-relief map', 'bread plate', 'backless a-line evening gown')",plastic,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a bread plate?
 a) backless a-line evening gown b) raised-relief map
","{'label': ['a)', 'b)'], 'text': ['backless a-line evening gown', 'raised-relief map']}",a)
"('pull-on snow boots', 'full-face balaclava', 'pasta bowl')","fleece, nylon, neoprene, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a full-face balaclava?
 a) pasta bowl b) pull-on snow boots
","{'label': ['a)', 'b)'], 'text': ['pasta bowl', 'pull-on snow boots']}",a)
"('kitchen cabinet', 'Jenga blocks', 'pouch clutch')",wood,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a Jenga blocks?
 a) pouch clutch b) kitchen cabinet
","{'label': ['a)', 'b)'], 'text': ['pouch clutch', 'kitchen cabinet']}",a)
"('rolling pin', 'violin', 'bandana (headgear)')","metal, plastic, wood","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a violin?
 a) bandana (headgear) b) rolling pin
","{'label': ['a)', 'b)'], 'text': ['bandana (headgear)', 'rolling pin']}",a)
"('computer mouse', 'ping pong paddle', 'tuning fork')","plastic, rubber","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a ping pong paddle?
 a) tuning fork b) computer mouse
","{'label': ['a)', 'b)'], 'text': ['tuning fork', 'computer mouse']}",a)
"('freestanding wine cooler', 'eyeglasses', 'duvet')","glass, metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a eyeglasses?
 a) duvet b) freestanding wine cooler
","{'label': ['a)', 'b)'], 'text': ['duvet', 'freestanding wine cooler']}",a)
"('phone charger', 'pocket compass', 'natural loofah')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pocket compass?
 a) natural loofah b) phone charger
","{'label': ['a)', 'b)'], 'text': ['natural loofah', 'phone charger']}",a)
"('observation post', 'mortar and pestle', 'pregnancy pillow')","stainless steel, stone","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a mortar and pestle?
 a) pregnancy pillow b) observation post
","{'label': ['a)', 'b)'], 'text': ['pregnancy pillow', 'observation post']}",a)
"('violin bow', 'chess piece', 'twisty balloon')","plastic, wood","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a chess piece?
 a) twisty balloon b) violin bow
","{'label': ['a)', 'b)'], 'text': ['twisty balloon', 'violin bow']}",a)
"('dry-erase calendar', 'auto-lock tape measure', 'wine cork')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a auto-lock tape measure?
 a) wine cork b) dry-erase calendar
","{'label': ['a)', 'b)'], 'text': ['wine cork', 'dry-erase calendar']}",a)
"('stylus pen', 'dessert plate', 'onesie')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a dessert plate?
 a) onesie b) stylus pen
","{'label': ['a)', 'b)'], 'text': ['onesie', 'stylus pen']}",a)
"('rear-view mirror', 'cuckoo clock', 'sundress')","glass, metal","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a cuckoo clock?
 a) sundress b) rear-view mirror
","{'label': ['a)', 'b)'], 'text': ['sundress', 'rear-view mirror']}",a)
"('finger puppet', 'pennant flag', 'plain podium')","polyester, vinyl","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pennant flag?
 a) plain podium b) finger puppet
","{'label': ['a)', 'b)'], 'text': ['plain podium', 'finger puppet']}",a)
"('hooded romper', 'flutter sleeve', 'smartphone')","cotton, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a flutter sleeve?
 a) smartphone b) hooded romper
","{'label': ['a)', 'b)'], 'text': ['smartphone', 'hooded romper']}",a)
"('trunk bag', 'non-skid slipper socks', 'crescent arrowhead')","nylon, polyester, rubber","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a non-skid slipper socks?
 a) crescent arrowhead b) trunk bag
","{'label': ['a)', 'b)'], 'text': ['crescent arrowhead', 'trunk bag']}",a)
"('safety net', 'T-shirt', 'AA battery')",polyester,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a T-shirt?
 a) AA battery b) safety net
","{'label': ['a)', 'b)'], 'text': ['AA battery', 'safety net']}",a)
"('clergy stole', 'cap sleeve leotard', 'bathtub')","cotton, polyester, velvet","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a cap sleeve leotard?
 a) bathtub b) clergy stole
","{'label': ['a)', 'b)'], 'text': ['bathtub', 'clergy stole']}",a)
"('beret', 'soccer ball', 'cooking foil')","nylon, polyester, synthetic leather","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a soccer ball?
 a) cooking foil b) beret
","{'label': ['a)', 'b)'], 'text': ['cooking foil', 'beret']}",a)
"('swing', 'lab workbench', 'organic cloth diaper')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a lab workbench?
 a) organic cloth diaper b) swing
","{'label': ['a)', 'b)'], 'text': ['organic cloth diaper', 'swing']}",a)
"('playpen canopy', 'fixed-length shoulder strap', 'bowling pin')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a fixed-length shoulder strap?
 a) bowling pin b) playpen canopy
","{'label': ['a)', 'b)'], 'text': ['bowling pin', 'playpen canopy']}",a)
"('pillowcase', 'academic stole', 'writing desk')","cotton, polyester, satin, silk","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a academic stole?
 a) writing desk b) pillowcase
","{'label': ['a)', 'b)'], 'text': ['writing desk', 'pillowcase']}",a)
"('clip-on tie', 'ski parka', 'prehistoric handaxe')","metal, nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a ski parka?
 a) prehistoric handaxe b) clip-on tie
","{'label': ['a)', 'b)'], 'text': ['prehistoric handaxe', 'clip-on tie']}",a)
"('camping tent', 'fishing lure', 'kraft envelope')","metal, nylon, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a fishing lure?
 a) kraft envelope b) camping tent
","{'label': ['a)', 'b)'], 'text': ['kraft envelope', 'camping tent']}",a)
"('bench cushion', 'pajama slip dress', 'bottle opener')","cotton, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pajama slip dress?
 a) bottle opener b) bench cushion
","{'label': ['a)', 'b)'], 'text': ['bottle opener', 'bench cushion']}",a)
"('messenger bag', 'compression socks', 'horsehair shoe brush')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a compression socks?
 a) horsehair shoe brush b) messenger bag
","{'label': ['a)', 'b)'], 'text': ['horsehair shoe brush', 'messenger bag']}",a)
"('clothesline', 'pregnancy pillow', 'faceted bead')","cotton, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a pregnancy pillow?
 a) faceted bead b) clothesline
","{'label': ['a)', 'b)'], 'text': ['faceted bead', 'clothesline']}",a)
"('opera gloves', 'sundress', 'donation box')","cotton, polyester, satin, silk","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a sundress?
 a) donation box b) opera gloves
","{'label': ['a)', 'b)'], 'text': ['donation box', 'opera gloves']}",a)
"('bike helmet', 'laser projector', 'handmade cloak')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a laser projector?
 a) handmade cloak b) bike helmet
","{'label': ['a)', 'b)'], 'text': ['handmade cloak', 'bike helmet']}",a)
"('soft tape measure', 'windbreaker jacket', 'tuning fork')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a windbreaker jacket?
 a) tuning fork b) soft tape measure
","{'label': ['a)', 'b)'], 'text': ['tuning fork', 'soft tape measure']}",a)
"('outdoor tiles', 'green chalkboard', 'fishing line')",plastic,"Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a green chalkboard?
 a) fishing line b) outdoor tiles
","{'label': ['a)', 'b)'], 'text': ['fishing line', 'outdoor tiles']}",a)
"('throw pillow', 'bridal gown', 'hardware organizer')","cotton, satin, silk, velvet","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a bridal gown?
 a) hardware organizer b) throw pillow
","{'label': ['a)', 'b)'], 'text': ['hardware organizer', 'throw pillow']}",a)
"('bicycle saddle', 'boat hull', 'headstone')","metal, plastic","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a boat hull?
 a) headstone b) bicycle saddle
","{'label': ['a)', 'b)'], 'text': ['headstone', 'bicycle saddle']}",a)
"('adjustable strap', 'tank top', 'pyramid roof')","nylon, polyester","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a tank top?
 a) pyramid roof b) adjustable strap
","{'label': ['a)', 'b)'], 'text': ['pyramid roof', 'adjustable strap']}",a)
"('scarf', 'beret', 'rail fence')","acrylic, cashmere, cotton, polyester, wool","Normally, which of the following is less likely to be at least partially made of a material that is a constituent of a beret?
 a) rail fence b) scarf
","{'label': ['a)', 'b)'], 'text': ['rail fence', 'scarf']}",a)
